"BANK OF ENGLAND (PRA)",,
"This document provides a list of Authorised Firms, it does not supersede the Financial Service Register which should be referred to as the most accurate and up to date source of information.",,
,,
"This list of firms includes Legal Entity Identifier (LEI) data. For more information see the Firm Data section at https://www.bankofengland.co.uk/prudential-regulation/authorisations/which-firms-does-the-pra-regulate",,
,,
"List of PRA-regulated Banks as at  01 February 2026",,
,,
"Banks incorporated in the UK authorised to accept deposits",,
,,
"Firm Name","FRN","LEI"
"ABC International Bank Plc","149025","PQEBSF10YW5QXWIKTJ21"
"Afin Bank Limited","1004742","213800NRZ2K3AGEXHT08"
"AIB Group (UK) Plc","122088","54930061N57ORAEPGX16"
"Al Rayan Bank PLC","229148","213800AINT5U4D66UA65"
"Aldermore Bank Plc","204503","2138009CAEGO41Q6HB61"
"ALLICA BANK LIMITED","821851","8945008WK6DNAUZQ7L32"
"Alpha Bank London Limited","135327","213800S8K5XZJ2K6OB13"
"ARBUTHNOT LATHAM & CO., LIMITED","143336","21380038NTY1PVJ3IY34"
"Atom Bank PLC","661960","213800YWQOYL4VQODV50"
"Bank Mandiri (Europe) Limited","204424","2138001M5OB5OE11NS50"
"Bank of Africa United Kingdom Plc","454750","5493000N7DDJ93G26E43"
"Bank Of Baroda (UK) Limited","768016","2549006RZET62B51UR82"
"Bank of Beirut (UK) Ltd","219523","213800AQHMYPEH8NNA33"
"BANK OF CEYLON (UK) LIMITED","514744","213800DG2M8QX22U6P30"
"BANK OF CHINA (UK) LIMITED","467410","213800SVCJUHY6VX7884"
"Bank of Ireland (UK) Plc","512956","213800OOT97XZGKQPY40"
"Bank of London and The Middle East plc","464292","213800NRFLLAE9AF6P35"
"Bank of Scotland plc","169628","OQ3T05P7YR8P5YJEVI93"
"Bank of the Philippine Islands (Europe) PLC","455378","5493007JJOEN82MFUM53"
"Bank Saderat Plc","204488","2138008KTNTDICZU8L25"
"Bank Sepah International Plc","208019","213800NCOJLY8JW3YI89"
"Barclays Bank Plc","122702","G5GSEF7VJP5I7OUK5573"
"Barclays Bank UK PLC","759676","213800UUGANOMFJ9X769"
"BIRMINGHAM BANK LIMITED","204478","21380055DUNS6NF26T32"
"British Arab Commercial Bank Plc","204564","213800EF3SHQLBJPGB20"
"Brown Shipley & Co Limited","124548","5493003MITCIX89B0R76"
"C. HOARE & CO.","122093","549300DPP8ACTS8VM749"
"CAF BANK LIMITED","204451","213800EUD395AUZB1G21"
"Cambridge & Counties Bank Limited","579415","213800HZTUSEIN3M1Z46"
"Castle Trust Capital PLC","541910","213800RA4QIHSIMFZL73"
"Cater Allen Limited","178737","NJ2Z3LWOIYWE0BE0UJ21"
"Charter Court Financial Services Limited","494549","213800ZCPY5ZNSY5I637"
"Chetwood Financial Limited","740551","254900DIJWMU1HVLWA90"
"Citibank UK Limited","805574","549300U8H3KN0K301B23"
"ClearBank Limited","754568","213800PERENGATFCHD95"
"Close Brothers Limited","124750","LC2LS8O497851NSB4L61"
"Clydesdale Bank Plc","121873","NHXOBHMY8K53VRC7MZ54"
"Coutts & Company","122287","549300OLXJ4Y010LOT34"
"Credit Suisse (UK) Limited","124269","549300GUAMON5OX2OO54"
"Credit Suisse International","146702","E58DKGMJYYYJLN8C3868"
"Crown Agents Bank Limited","204456","21380011ZYMBN21SZ194"
"Cynergy Bank Plc","575105","2138008LEZ3ZLF8HJ541"
"DB UK Bank Limited","140848","529900HNH6UOOF40A490"
"DF Capital Bank Limited","848291","213800UHF7TEFY61T896"
"EFG Private Bank Limited","144036","213800ZAC8VAGV4L2K61"
"Europe Arab Bank plc","446951","213800RRX1TYUVV2R518"
"FCE Bank Plc","204469","TU5V87TL5Q0UV1EW4H93"
"FCMB Bank (UK) Limited","502704","213800NLJCYY4AZZLS92"
"FidBank UK Limited","400712","549300URGO4D3SHWLM15"
"FirstBank UK Limited","216772","213800DD8GVBIP1HM239"
"Gatehouse Bank Plc","475346","213800UIMM88P3K5ZV42"
"GB Bank Limited","850286","2138002JLTR8GY8TKN40"
"Ghana International Bank Plc","204471","213800MSK6IY7NX8XM32"
"Goldman Sachs International Bank","124659","N9FYJ29MC81JI74MJE92"
"Griffin Bank Ltd","970920","213800PNWYME8874XZ32"
"Guaranty Trust Bank (UK) Limited","466611","213800FD3LOR6LPZPH83"
"Gulf International Bank (UK) Limited","124772","7N7YKE66OZ27KON72O26"
"Habib Bank Zurich Plc","627671","213800DVCFBA2TVL1T25"
"HAMPDEN & CO PLC","606934","213800KJGAYVISGD2863"
"Hampshire Trust Bank Plc","204601","21380013V6JI2T3MOG16"
"Handelsbanken plc","806852","254900HILJ9CO56XA292"
"Havin Bank Ltd","204481","213800YMG7E1F48JC136"
"HBL BANK UK LIMITED","188585","549300K7NH3086Y0SV98"
"HSBC Bank Plc","114216","MP6I5ZYZBEU3UXPYFY54"
"HSBC INNOVATION BANK LIMITED","543146","213800LH7QCHIR3JI632"
"HSBC Private Bank (UK) Limited","124781","549300G717XMVN87UL79"
"HSBC UK Bank Plc","765112","21380081EP12LC86CB82"
"ICBC (London) plc","222030","2138003HW6485HGVSH88"
"ICBC Standard Bank Plc","124823","F01VVKN4DRF2NWKGQ283"
"ICICI Bank UK Plc","223268","2138002XB6T14IGKGU43"
"IFAST GLOBAL BANK LIMITED","716167","2138003488D1LGCBRV23"
"Investec Bank PLC","172330","84S0VF8TSMH0T6D4K848"
"Itau BBA International PLC","575225","5493009ADHYKU8V9P697"
"J.P. Morgan Europe Limited","124579","549300EJYMJS22ND8Y17"
"J.P. Morgan Securities plc","155240","K6Q0W1PS1L1O4IQL9C32"
"Jordan International Bank Plc","183722","213800WMLZ87OAYT3X87"
"Julian Hodge Bank Limited","204439","213800GEIK9AZNTJVZ29"
"KEXIM BANK (UK) LIMITED","204490","213800246DSYDX1BMF80"
"KINGDOM BANK LIMITED","400972","2138004N9K31CATCK953"
"Kroo Bank Ltd","953772","213800D41PZHBTEHQN06"
"KUWAIT FINANCE HOUSE PLC","131818","213800F3IFWY8CWYWO07"
"LHV BANK LIMITED","993767","9845001RFA8CMB01A341"
"Lloyds Bank Corporate Markets Plc","763256","213800MBWEIJDM5CU638"
"Lloyds Bank PLC","119278","H7FNTJ4851HG0EXQ1Z70"
"MARKS AND SPENCER FINANCIAL SERVICES PLC","151427","2138009M124EE2Q9ZK29"
"Melli Bank plc","207380","213800BC4TEGCCQH9V07"
"Methodist Chapel Aid Limited","204508","213800GD7EDYBP4LH202"
"Metro Bank PLC","488982","213800X5WU57YL9GPK89"
"Mizuho International plc","119256","213800HZ54TG54H2KV03"
"Monument Bank Limited","849724","213800OLF8OE1I3HVY91"
"Monzo Bank Ltd","730427","213800PLUYXGZ8LU7T61"
"Morgan Stanley Bank International Limited","195430","Z06S12H6N9QRJ8HHN626"
"National Bank of Egypt (UK) Limited","204520","2TV5CTDU7ZDMT8HL5F58"
"National Bank of Kuwait (International) Plc","171532","213800OTQ2BHFRVL6A46"
"NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY","121878","213800IBT39XQ9C4CP71"
"NatWest Markets Plc","121882","RR3QWICWWIPCS8A4S074"
"Nomura Bank International Plc.","204419","WGII3666BEDR02O24131"
"Northern Bank Limited","122261","549300KUB2XKWLPMXV81"
"OakNorth Bank plc","629564","213800A7BOPQRC475O81"
"OneSavings Bank Plc","530504","213800WTQKOQI8ELD692"
"Oxbury Bank PLC","834822","21380065OVUSBK99TQ03"
"Paragon Bank Plc","604551","213800ZD686TR7FEP983"
"Perenna Bank PLC","956138","2138005PR3L49ZS15G64"
"Persia International Bank Plc","208020","213800HTIY6D1KMBG757"
"Philippine National Bank (Europe) Plc","204532","8945002FWV05NGBXJJ26"
"Punjab National Bank (International) Limited","459701","2138006AACENARGZJ838"
"QIB (UK) Plc","466577","213800S4QPWSX1GXY767"
"Rathbones Investment Management Limited","116316","2138008ANZZHTOFO9Y42"
"RBC Europe Limited","124543","TXDSU46SXBWIGJ8G8E98"
"RCI Bank UK Limited","815220","213800XJY1CUVMC29H81"
"RECOGNISE BANK LIMITED","849404","213800ZFTXJC7RV9UQ92"
"REDWOOD BANK LIMITED","755924","213800MZ8SY49DGWN237"
"RELIANCE BANK LIMITED","204537","213800EO3S4IKXAPB795"
"Revolut NewCo UK Ltd","981170","2138003LXONKR247S255"
"Sainsbury's Bank Plc","184514","213800VDIFGJM2DF1R46"
"Santander Financial Services plc","146003","R83QYRLEMH4ZSHI0L097"
"Santander UK Plc","106054","PTCQB104N23FMNK2RZ28"
"Schroder & Co Ltd","144206","XZYM01I1402576QWNU05"
"SECURE TRUST BANK PUBLIC LIMITED COMPANY","204550","213800CXIBLC2TMIGI76"
"Shawbrook Bank Limited","204574","213800XSHRKUIZK86B68"
"SMBC Bank International plc","223304","NT7C58H5HPZYKZDPOO64"
"Standard Chartered Bank","114276","RILFO74KP1CM8P6PCT96"
"Starling Bank Limited","730166","213800AE5VSF3V1PAV23"
"State Bank Of India (UK) Limited","757156","213800LOV39TJH6YQY23"
"StreamBank PLC","954876","213800KDQFY4NBXFKP66"
"Tandem Bank Limited","204479","2138006XK2FFFY53L343"
"TD Bank Europe Limited","165556","213800TSUEO1BP2F4Z08"
"The Access Bank UK Limited","478415","5493002IGEWNBCWX0S85"
"The Bank of London Group Limited","930379","984500564M886CFD4643"
"The Bank of New York Mellon (International) Limited","183100","549300KP56LL8NKKFL47"
"The Charity Bank Limited","207701","213800RNCUQ66C57MV78"
"THE CO-OPERATIVE BANK P.L.C.","121885","213800TLZ6PCLYPSR448"
"The Royal Bank of Scotland Plc","114724","549300WHU4EIHRP28H10"
"THIS BANK LIMITED","832786","2138008GGHD1Q6OZZ280"
"Triodos Bank UK Limited","817008","213800CT9EVOBAGLKM04"
"TSB Bank plc","191240","549300XP222MV7P3CC54"
"TURKISH BANK (UK) LIMITED","204566","213800UHJUCFNA7KY464"
"Union Bancaire Privée (UK) Limited","119250","549300KR3CB1AXT4LT74"
